id,geom,longitude,latitude,classname,time,img_received,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,isprocessed,mb_serial,mt_serial
41330,0101000020E610000020C89A36802B6040F2D463AB0F004240,129.359401,36.00047819,pothole,2024-07-15 16:59:40.709536+09,TRUE,36.000456,129.359473,34.638696,경상북도,포항시 남구,연일읍,오천리,형산강남로418번길,1,FALSE,PDCToolV1,MTPohangPC7
41351,0101000020E6100000131101793C2B6040BF21A619C8014240,129.3511319,36.01391907,pothole,2024-07-15 17:12:32.657875+09,TRUE,36.013893,129.35107,32.704157,경상북도,포항시 남구,상도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41371,0101000020E61000002E53E7F8072B6040A3322D8B93FF4140,129.3447232,35.99669018,pothole,2024-07-15 17:37:49.763574+09,TRUE,35.996715,129.344661,31.451199,경상북도,포항시 남구,연일읍,생지리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41386,0101000020E6100000E719BF35292B6040A26AB51331FF4140,129.3487805,35.99368521,pothole,2024-07-15 17:41:02.902551+09,TRUE,35.993753,129.348768,32.687038,경상북도,포항시 남구,연일읍,동문리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41390,0101000020E6100000843EAE371C2B60405D190FD6EBFE4140,129.3471945,35.99157215,pothole,2024-07-15 17:42:08.495305+09,TRUE,35.991536,129.347254,33.552402,경상북도,포항시 남구,연일읍,괴정리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41403,0101000020E61000008181DE86012B6040C72FFADCADFF4140,129.3439364,35.99749338,pothole,2024-07-15 17:44:32.214486+09,TRUE,35.997431,129.343911,33.739136,경상북도,포항시 남구,연일읍,생지리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41441,0101000020E61000002404ECC6B22B6040DAD3D38891034240,129.3655734,36.02787886,pothole,2024-07-16 06:23:19.327831+09,TRUE,36.027861,129.365507,30.64303,경상북도,포항시 남구,대도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41527,0101000020E6100000CF70E3CBDD2B6040593A046EE7074240,129.3708248,36.06175018,pothole,2024-07-16 08:22:43.802816+09,TRUE,36.061685,129.370801,42.706227,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41537,0101000020E610000052C5EED1D72B604062B7E3CDA3074240,129.3700952,36.05968641,pothole,2024-07-16 08:29:23.917428+09,TRUE,36.059752,129.370108,49.401983,경상북도,포항시 북구,창포동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41552,0101000020E610000047817DEAC32B60403BB721C741064240,129.3676655,36.04888238,pothole,2024-07-16 08:41:47.163028+09,TRUE,36.048886,129.367751,40.640959,경상북도,포항시 북구,대신동,NULL,대신로26번길,5,FALSE,PDCToolV1,MTPohangPC7
